United Airlines Aircraft Operating Statistics- Cost Per Block Hour (Unadjusted),,,,,,,,,,,,,,,,,,,,,,
United Airlines,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Total Direct,$249 ,$294 ,$364 ,$320 ,$359 ,$352 ,$470 ,$539 ,$560 ,$719 ,$644 ,$520 ,$744 ,$864 ,$878 ,$911 ,"$1,067 ",$599 ,$607 ,$532 ,$571 
,Burden,$284 ,$358 ,$411 ,$391 ,$380 ,$382 ,$562 ,$578 ,$588 ,$436 ,$294 ,$314 ,$364 ,$398 ,$456 ,$412 ,$511 ,$268 ,$235 ,$239 ,$244 
,,,,,,,,,,,,,,,,,,,,,,
,Aircraft Ownership,$821 ,$769 ,$737 ,$661 ,$575 ,$581 ,$769 ,$734 ,$590 ,$465 ,$403 ,$385 ,$418 ,$467 ,$516 ,$492 ,$424 ,$329 ,$295 ,$274 ,$217 
,Rentals,$564 ,$523 ,$506 ,$402 ,$374 ,$397 ,$490 ,$479 ,$309 ,$234 ,$168 ,$239 ,$242 ,$273 ,$263 ,$262 ,$287 ,$293 ,$262 ,$244 ,$186 
,Depreciation and Amortization,$257 ,$246 ,$231 ,$259 ,$200 ,$184 ,$279 ,$255 ,$281 ,$230 ,$234 ,$146 ,$176 ,$193 ,$253 ,$230 ,$137 ,$35 ,$34 ,$30 ,$30 
,,,,,,,,,,,,,,,,,,,,,,
,Other,$7 ,$4 ,$10 ,$13 ,$6 ,($41),$12 ,$8 ,$0 ,$14 ,$21 ,$3 ,$5 ,$3 ,$1 ,$35 ,$153 ,$239 ,$355 ,$311 ,$326 
,,,,,,,,,,,,,,,,,,,,,,
,Indicies,,,,,,,,,,,,,,,,,,,,,
,Aircraft In Fleet,88,90,92,96,98,98,98,97,96,97,97,97,97,97,97,96,95,336,352,350,351
,Seats Per Departure,188,188,188,188,186,182,182,182,182,182,172,171,171,170,171,171,171,167,167,166,169
,Average Stage Length,"1,406","1,410","1,401","1,311","1,281","1,365","1,383","1,348","1,363","1,406","1,401","1,449","1,445","1,446","1,371","1,411","1,441","1,491","1,518","1,518","1,496"
